97;Lanthandlarn;Grillad Rostbiff Skivad;02383119800005
98;Lanthandlarn;Bacon Skivat;02383113600007
99;VALIO;Smör normalsaltat;06408432201462
100;Brämhults;Nypressat Äpple;07313619000679
101;SMAKIS;EKOLOGISK SV.VINB.DRYCK KRAV-MÄRKT;07311671271259
102;Ivars;Kycklingbröst med del av vinge;07300321435004
103;Arla®;Onaka filmjölk jordgubb & mangostan;07310865889454
104;Jensens Køkken;Rödvinssås;05704000475053
105;Svenska Hamburgare;Kebabsplit;07330776060018
106;Kitchen Joy;Kycklingbröst stekt skivat 6-8 mm;08855702006483
107;Falbygdens®;GranRes Svecia 24mån 28% hårdost;02340389000009
108;Arla®;Miniost cheddar sticks;05000246727230
109;Fontana;Olivolja Extra Virgin KRAV;07316150677768
110;Pasfrost;Paprika röd tärnad;07310960712220
111;Coop;Pizzasallad;07300156577979
112;Arla Köket®;grönsaksyoghurt grön ärtpesto;07310865098627
113;LikeMeat;Organic Like Kebab;15705518951142
114;SKÅNEMEJERIER;Lättyoghurt Björnbär/hallon 0,5%;07310867531030
115;SKÅNEMEJERIER;Vanilj Yoghurt 3% KRAV;07310867534307
116;Menigo;Pommes frites extra tunna 6x6;07301002411652
117;Simris Select;Boosting Astaxanthin;07350080700110
118;VALIO;Laktosfri Mjölkdryck;06408432086564
119;PÅGEN;Vörtbröd;07311070337020
120;PCB CREATION;Livsmedelsfärg Jordgubbsröd;03614680044567
121;Dole;Baby Spenat;07330583992205
122;Rama Professional;Visp 31% Låglaktos;08719200068346
123;RAPSONA;WIENER MB;07313841343551
124;Ana Paula;Biff med kappa Black Angus;02376825300006
125;Tyson IBP;Oxfilé;02376824700005
126;Johan & Nyström;EKO MAO JIAN JASMIN;04013945045049
127;DAWN;Cookiemix amerikansk;05028966034766
128;NORDSTRÖMS;Strimlat Nötkött KRAV;02381568400005
129;BjörnMat Nature's Foods;Fryst Karl-Johan champagnekorkar;07330120102142
130;Dugges & Omnipollo;Anagram Barrel Aged;07350038222619
131;Dafgårds;Baguette Vitlök;07310960741268
132;Nordic Spice;Koriander mald;08435161820884
